number_of_reviews,minimum_nights,calculated_host_listings_count,availability_365,neighbourhood_group,room_type,price
17,7,1,66,2,0,50
31,3,1,0,1,1,83
14,3,34,361,0,2,36
3,30,52,342,1,1,115
8,5,2,0,1,1,120
2,29,5,1,2,0,40
14,1,1,12,1,0,68
97,2,5,22,1,0,80
1,1,3,0,0,1,150
0,2,1,0,1,1,180
22,1,3,38,1,0,67
5,1,2,163,0,0,100
19,4,3,43,0,0,69
20,25,5,365,1,0,65
20,3,1,27,0,0,30
180,1,3,125,1,1,125
1,3,1,46,0,1,200
0,1,1,188,1,1,180
7,14,1,21,1,1,67
4,3,3,348,2,1,250
21,1,1,188,1,2,50
6,30,1,363,0,1,275
0,30,87,310,1,1,225
69,5,1,137,1,0,90
20,3,1,313,0,1,496
15,2,8,344,0,0,65
5,4,1,0,1,1,194
42,3,4,290,0,0,65
7,1,1,0,0,0,80
84,2,3,119,2,1,65
4,1,2,0,1,0,77
68,2,1,9,1,1,100
51,10,1,64,1,1,120
69,2,1,39,1,1,150
81,3,1,198,1,1,140
6,1,1,362,4,1,85
110,2,1,222,2,0,120
41,1,2,8,1,0,49
18,1,1,0,1,1,175
2,2,2,220,4,0,80
0,30,4,0,1,1,165
222,1,13,290,0,0,85
14,6,3,339,0,1,85
34,4,1,18,0,0,56
4,1,1,8,1,1,140
26,3,2,19,1,1,130
19,2,2,32,1,0,130
4,2,1,0,1,0,115
0,1,2,365,1,1,400
19,2,1,81,0,1,171
134,2,1,36,1,1,150
143,2,1,263,4,0,53
8,1,1,0,1,0,79
1,3,1,0,1,1,112
22,2,1,341,0,1,300
194,1,4,0,0,0,65
10,3,1,0,1,1,199
0,30,2,365,1,1,200
3,1,1,0,0,0,30
105,1,2,274,0,1,200
3,2,1,0,1,1,127
70,5,3,236,0,0,42
54,1,1,0,0,0,60
29,2,1,55,1,1,103
14,1,5,310,2,0,37
2,2,1,0,1,0,150
2,20,1,333,0,0,27
70,3,1,338,0,1,300
2,30,1,0,3,1,55
161,1,6,165,1,0,110
50,2,1,0,0,1,110
3,2,1,0,1,0,99
5,2,1,0,0,1,60
8,2,6,75,2,0,40
0,5,5,0,2,1,150
20,3,2,15,1,0,115
129,1,2,299,1,0,99
4,2,327,298,1,1,188
3,30,52,365,0,1,129
0,27,1,365,1,2,337
0,3,1,0,1,0,73
109,1,3,364,1,0,95
6,1,2,90,1,0,43
12,2,1,14,1,1,130
8,25,1,0,1,0,80
24,3,1,131,2,1,200
0,3,1,161,1,1,400
27,1,4,311,0,0,165
0,3,1,0,0,1,150
0,30,96,0,1,1,145
4,1,3,0,1,0,85
4,1,1,0,0,2,42
5,2,3,310,0,0,90
0,4,1,0,1,0,110
4,1,2,267,0,0,150
81,1,1,158,1,0,75
118,3,1,4,1,1,50
29,2,1,38,1,1,250
0,30,121,201,1,1,335
1,29,327,281,1,1,185
0,2,1,6,0,0,65
7,3,1,242,1,1,169
0,30,25,340,0,0,48
2,3,1,84,0,0,100
4,30,6,220,0,1,58
3,2,3,342,1,0,86
4,30,11,282,0,1,200
8,1,7,342,1,1,299
0,1,1,0,1,0,300
26,3,1,96,1,1,250
0,2,1,0,1,1,200
0,30,1,365,1,0,200
46,1,1,46,4,0,55
0,5,1,23,0,1,168
3,6,1,12,0,1,175
3,1,10,357,2,1,299
4,3,1,0,0,1,95
0,1,1,0,1,0,140
326,3,1,90,1,0,100
3,1,2,0,0,0,65
0,5,1,0,1,1,303
27,2,1,137,2,1,110
0,5,1,24,1,0,50
2,2,1,0,1,1,160
2,30,1,0,0,0,55
71,2,1,199,1,1,125
4,1,4,270,1,0,179
72,1,6,257,2,1,259
0,2,1,0,1,0,69
0,30,23,365,1,1,200
6,4,1,2,0,0,60
2,2,1,0,0,1,150
13,2,1,361,1,0,70
10,4,1,0,1,1,225
1,30,103,246,2,0,33
1,2,1,0,0,0,48
59,4,1,37,1,1,240
1,5,1,0,0,1,80
20,2,2,0,0,1,131
18,4,1,82,0,0,55
4,2,2,188,2,0,40
21,4,4,129,0,0,55
0,2,1,49,1,0,75
6,3,1,0,0,1,116
0,5,1,53,2,1,250
3,30,4,180,1,0,61
169,2,1,279,0,1,136
11,4,2,63,1,0,175
4,3,1,0,2,1,155
1,14,28,320,1,2,35
88,1,1,339,2,1,85
61,3,1,272,0,1,105
12,2,1,220,1,2,800
1,1,1,0,1,0,110
0,7,1,0,1,1,169
2,1,1,0,1,0,97
14,20,2,315,1,1,250
0,30,1,312,0,1,128
7,1,1,358,3,0,80
69,1,3,87,0,0,56
55,2,4,281,0,0,50
4,3,1,76,4,0,187
88,3,1,303,2,1,120
25,1,8,177,0,0,60
1,2,1,327,0,0,159
72,1,2,307,0,1,105
54,3,1,69,0,0,90
0,17,2,0,0,0,37
0,30,65,365,1,1,450
49,3,1,1,1,1,180
190,1,5,359,2,0,59
51,2,4,219,1,0,98
30,1,1,6,2,1,120
0,10,2,49,0,1,140
2,2,1,0,1,1,198
0,5,1,0,0,0,32
65,2,6,361,2,0,54
0,1,1,0,1,1,180
68,1,3,168,0,0,70
0,29,7,0,0,1,120
0,30,2,364,0,0,55
134,2,1,66,1,0,119
0,15,1,0,0,1,150
0,2,1,324,1,1,176
0,3,3,7,0,1,750
2,1,1,0,0,1,60
280,2,3,257,1,1,99
30,1,1,144,1,1,145
0,1,1,0,1,1,2000
0,2,1,0,0,0,100
0,1,1,363,4,0,150
78,2,1,270,1,1,221
0,2,2,64,0,0,190
17,12,1,32,0,1,53
0,21,1,0,0,0,45
7,2,1,0,0,0,60
0,10,1,83,0,1,210
8,2,2,0,1,0,275
0,5,1,0,0,1,100
9,1,4,55,0,0,68
2,30,1,342,1,1,175
59,1,1,188,0,0,53
4,1,1,365,1,0,250
56,2,1,1,0,1,70
0,5,1,38,0,1,145
0,1,1,179,2,0,70
7,2,1,0,0,0,88
67,1,2,146,0,1,145
0,7,1,0,2,1,90
0,7,1,0,0,1,180
23,2,1,60,0,1,125
3,5,1,0,0,1,59
6,5,3,90,0,1,125
4,2,1,0,2,0,150
0,3,1,32,2,1,185
17,2,1,190,1,0,105
3,2,2,0,0,0,72
41,1,4,132,1,0,60
31,2,1,272,1,1,140
0,5,1,0,0,0,55
126,1,4,318,1,1,359
33,2,1,227,1,1,201
6,2,1,20,0,0,65
3,2,2,0,0,1,245
24,3,2,69,0,1,125
11,2,1,212,1,1,150
34,1,2,87,2,0,100
2,2,1,180,2,0,60
27,2,1,190,2,0,45
3,10,3,284,0,1,168
4,2,2,177,2,0,60
3,5,1,0,0,1,150
4,1,1,0,1,1,80
88,2,1,107,1,0,79
5,28,3,297,0,0,65
3,5,1,0,1,0,75
4,1,1,162,2,1,150
20,2,2,27,2,1,110
0,1,1,0,0,2,95
22,2,1,230,1,1,125
1,2,1,0,2,1,100
0,30,65,365,1,1,285
0,2,1,87,0,1,300
10,2,2,62,0,0,75
0,7,1,0,2,0,35
3,15,11,354,0,0,40
0,1,3,0,1,1,186
1,1,2,0,1,0,69
129,1,1,95,2,0,60
0,60,1,0,0,0,65
52,2,4,67,1,0,90
8,3,2,0,0,0,45
5,2,1,0,0,2,26
0,2,4,89,0,0,79
37,3,1,47,1,1,88
0,1,1,158,1,1,215
0,10,2,0,1,1,110
0,1,1,0,1,0,175
0,2,1,365,0,0,250
1,3,2,310,1,0,86
8,2,1,19,0,0,65
0,30,1,125,1,0,60
1,3,1,2,0,1,130
292,2,2,186,1,1,140
17,1,1,362,0,1,227
1,7,1,153,1,1,225
0,20,2,365,0,0,43
20,1,3,227,1,0,45
0,5,1,318,0,1,250
1,3,1,264,1,1,495
0,2,3,0,1,0,640
40,2,2,285,1,1,375
3,2,1,0,0,1,180
162,3,1,300,0,1,125
25,3,1,30,0,1,400
1,30,3,342,2,0,40
0,2,1,17,1,1,280
4,1,1,0,0,0,54
20,3,1,173,0,0,110
3,31,33,281,1,1,200
8,5,1,0,1,1,66
1,1,1,0,1,0,150
17,3,1,31,0,1,153
0,3,1,38,0,2,90
287,2,1,284,1,1,399
2,3,2,4,1,1,168
92,1,3,357,2,0,70
143,5,2,316,1,1,390
0,30,121,364,1,1,350
0,2,4,229,1,1,450
2,2,327,350,1,1,228
0,1,1,365,1,1,450
1,5,1,23,0,1,98
11,2,1,0,1,1,100
46,2,4,301,0,0,49
92,3,10,172,2,0,47
0,1,1,0,1,0,80
249,2,1,172,1,1,99
0,2,1,224,0,0,35
8,2,2,44,1,0,55
31,3,1,0,0,0,45
37,8,5,280,0,0,68
13,1,1,213,1,1,250
4,3,1,0,0,1,85
0,3,1,362,1,0,100
2,1,1,0,2,1,39
1,1,1,0,0,1,125
0,2,1,74,1,1,299
14,5,1,9,1,1,230
216,1,1,43,1,0,100
34,1,1,180,1,0,69
4,30,15,232,2,1,85
0,6,1,332,1,1,100
151,2,1,0,1,0,100
2,2,1,0,0,1,150
0,1,1,0,0,0,60
150,3,1,320,1,0,99
16,3,1,33,0,1,255
2,3,1,33,1,1,260
149,3,1,242,0,1,179
7,3,1,5,0,1,90
105,2,1,304,1,1,400
29,4,3,205,0,1,230
1,3,2,0,0,1,130
1,1,1,23,1,0,100
2,5,1,0,0,1,225
0,7,1,0,1,0,90
30,2,1,94,0,0,64
30,2,5,0,0,0,45
0,3,1,157,0,1,90
0,1,1,0,0,0,75
28,2,1,0,1,1,250
0,30,7,365,0,2,27
9,2,1,50,1,1,175
5,7,1,0,0,0,35
7,2,327,125,1,1,282
2,2,1,0,0,0,57
22,3,1,39,3,1,175
49,1,1,276,0,1,120
4,2,1,0,1,1,157
0,3,2,191,0,1,480
12,13,1,74,0,1,90
0,21,1,0,0,0,73
15,8,1,0,1,1,179
38,1,4,142,1,0,99
51,1,3,0,1,0,150
6,1,1,363,2,0,73
0,1,1,0,0,0,60
1,5,2,0,2,1,170
8,7,47,271,1,0,100
0,1,1,0,1,0,70
2,3,1,0,0,1,175
67,3,1,129,0,1,170
7,2,1,0,0,1,73
1,7,1,0,0,0,70
0,30,50,364,1,1,195
6,30,15,225,1,1,99
36,3,2,274,0,1,165
25,1,2,329,1,0,145
1,4,1,0,0,1,250
1,1,2,27,0,1,74
138,1,1,34,1,0,89
1,7,1,0,0,0,50
0,29,327,341,1,1,137
5,6,1,108,1,1,400
2,2,1,241,0,1,150
203,1,2,32,1,0,139
8,10,1,0,1,0,90
42,1,4,207,2,0,38
64,1,2,332,1,0,300
8,1,1,64,0,0,33
1,7,1,0,0,1,150
24,1,1,27,1,1,150
6,2,2,321,2,1,200
1,2,1,0,1,1,149
2,1,1,0,2,0,31
5,1,2,0,1,1,599
0,1,1,12,1,0,90
